Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
51084222,Il racconto dell'ancella,Margaret Atwood,"Atwood, Margaret",Camillo Pennati,"=""8833312259""","=""9788833312255""",2,4.11,Ponte alle Grazie,Paperback,398,2019,1985,,2020/10/26,,,read,"<a href=""https://www.artedellalettura.it/recensione-il-racconto-dellancella-margaret-atwood/"" target=""_blank"">Recensione pubblicata originariamente sul mio blog Arte della Lettura</a><br/><em>Il racconto dell'ancella </em>narra di un futuro (ormai passato) dove poche donne sono rimaste fertili e, vista la loro utilità, vengono usate come schiave per la riproduzione. Il romanzo parte quindi con un concetto interessante, che però non viene approfondito né supportato da una trama valida.<br/><h3><strong>Trama </strong></h3><br/>Il racconto dell'ancella non ha una trama, ma bensì un paio di eventi casuali, qualche dialogo fine a sè stesso, innumerevoli pensieri introspettivi e nulla di più. L'unico motivo per cui proseguivo la lettura era per scoprire di più sulla distopia, su come funzionava quel mondo fittizio e per capire come si fosse arrivati a quel punto. Curiosità per altro non soddisfatte.<br/><br/>Nella prima metà del libro siamo lasciati a brancolare nel buio di una trama inesistente, senza sapere nulla sui personaggi, sul mondo e sulle vicende attuali. Le informazioni ci vengono fornite in modo risicato, giusto quel che basta per proseguire per un'altra decina di pagine. La trama non avanza, seguiamo solamente le giornate tutte uguali della protagonista.<br/><br/>Nella seconda metà qualcosa inizia a muoversi, si potrebbe pure pensare che possa nascere qualcosa simile a una trama. Scopriamo più dettagli sul mondo, un paio di eventi modificano la vita monotona della protagonista, portandola finalmente a fare scelte anche rischiose. Arriviamo al climax, la vita della protagonista sta per cambiare drasticamente e... il libro finisce.<br/><br/><img class=""aligncenter size-full"" src=""https://media.giphy.com/media/keuNoOuTb1D4A/source.gif"" width=""500"" height=""280"" /><br/><br/>Nel punto esatto in cui un libro dovrebbe iniziare, <em>Il racconto dell'ancella</em> si conclude.<br/><h3><strong>Personaggi</strong></h3><br/>I personaggi de <em>Il racconto dell'ancella</em> sono anonimi e per nulla caratterizzati. Questo rende impossibile creare un legame con loro, portando a una totale indifferenza per ciò che gli succede. L'autrice cerca continuamente di creare situazioni di ansia accennando a possibili pericoli e rischi per la protagonista e le persone a lei care, ma difficilmente venivo coinvolto perché non mi importa granché di personaggi di cui non so nulla.<br/><h3><strong>Worldbuilding</strong></h3><br/>Ogni distopia che si rispetti dovrebbe avere un ottimo worldbuilding. Purtroppo ne <em>Il racconto dell'ancella </em>il worldbuilding si limita a spiegare - in modo molto sintetico - solo pochi elementi, lasciando il resto nell'ignoto. Oltretutto le spiegazioni sono banali e generiche, sfruttando spesso espedienti per ""spiegare"" <em>senza però davvero spiegare</em>.<br/><br/>Per esempio, perché la fertilità è diminuita? Nel libro ci viene detto che è colpa dei contraccettivi, delle centrali nucleari, dell'inquinamento e così via. Motivazioni semplici per risolvere in modo rapido il quesito.<br/><br/>Altro errore, a mio parere, è stato definire troppo nel dettaglio l'epoca d'ambientazione del libro. Tramite descrizioni o riferimenti diretti, spesso ci viene detto che siamo nel 1980 circa, cosa che rende <em>Il racconto dell'ancella </em>molto legato al passato. Leggendolo non mi viene da pensare al futuro, perché troppo spesso mi viene ricordato di essere nel passato. Un buon libro distopico dovrebbe essere attuale in qualsiasi epoca lo si legga, indipendentemente dall'anno in cui è stato scritto. <em>1984 </em>di George Orwell è un libro uscito circa 40 anni prima, ma ancora oggi rimane un libro senza tempo. Leggendolo non ci sembra di essere nel passato, ma immaginiamo un possibile futuro.<br/><h3><strong>Stile di scrittura<br/></strong></h3><br/>Lo stile di scrittura è molto complesso e contorto. I periodi sono lunghi e ricchi di metafore e altre figure retoriche, il che rallenta la lettura.<br/><br/>Per farvi comprendere meglio la complessità della prosa de <em>Il racconto dell'ancella</em>, copio qui una frase presente nella prima pagina.<br/><blockquote>Una balconata per gli spettatori correva tutt'attorno allo stanzone, e mi pareva di sentire, vago come l'aleggiare di un'immagine, l'odore acre di sudore misto alla traccia dolciastra della gomma da masticare e del profumo che veniva dalle ragazze che stavano a guardare, con le gonne di panno che avevo visto nelle fotografie, poi in minigonna, poi in pantaloncini, con un orecchino solo e i capelli a ciocche rigide, puntute e striate di verde.</blockquote><br/>8 virgole e 73 parole. Purtroppo frasi del genere sono la regola, non l'eccezione.<br/><h2><strong>Conclusioni</strong></h2><br/>Un libro difficile da leggere sia per la prosa che per la mancanza di trama. Il concetto di base aveva molto potenziale, ma il libro non vale la pena di essere letto.<br/><a href=""https://www.artedellalettura.it"" target=""_blank"">Altre recensioni sul mio blog Arte della Lettura</a>",,,1,,,0,,,,,
48651875,L'imbustastorie. Fogli d'Autore IV: Incubo,Charles Dickens,"Dickens, Charles","Marcel Schwob, Virginia Woolf, Jean Cocteau, H.P. Lovecraft","=""8865512962""","=""9788865512968""",0,4.50,ABEditore,Unbound,4,2018,,2020/12/20,2020/12/20,,,read,,,,1,,,0,,,,,
56349229,Il vascello maledetto,Emilio Salgari,"Salgari, Emilio",,"=""""","=""9788831456319""",0,0.0,Caravaggio Editore,Unbound,25,2020,1894,2020/12/20,2020/12/20,,,read,,,,1,,,0,,,,,
27419987,Il Trono di Spade: Libro quinto delle cronache del ghiaccio e del fuoco,George R.R. Martin,"Martin, George R.R.",,"=""8804657944""","=""9788804657941""",3,4.32,Arnoldo Mondadori,Hardcover,1164,2015,2011,2020/12/13,2020/11/24,,,read,"<a href=""https://www.artedellalettura.it/recensione-il-trono-di-spade-libro-quinto/"" target=""_blank"">Recensione pubblicata originariamente sul mio blog Arte della Lettura</a><br/>Con il quinto libro si conclude -spero temporaneamente- la saga del Trono di Spade di George Martin. Quest'ultimo libro torna indietro nel tempo e narra di eventi di cui avevamo già sentito parlare nel <a href=""https://www.artedellalettura.it/recensione-il-trono-di-spade-libro-quarto/"">libro precedente</a>, ma stavolta li viviamo in prima persona, proseguendo poi oltre la conclusione del quarto libro.<br/><br/>Arrivati ormai al quinto capitolo della saga le cose da dire nuove nelle recensioni sono finite. Oltre ai soliti elogi su trama, personaggi e descrizioni, adesso che non ho più seguiti da leggere mi rendo conto di quanto pessimi siano i finali scritti da George Martin. Gli ultimi capitoli del libro si concludono tutti in un cliffhanger, non chiudendo praticamente nessuna sottotrama e aprendo invece la porta a nuove speculazioni. Se prima non avevo fatto caso a questa cosa, adesso che sono arrivato all'ultimo libro mi pesa particolarmente.<br/><br/>Inoltre, dopo aver letto altre recensioni sulla saga, mi sono reso conto che effettivamente il modo in cui l'autore ""usa"" le donne in questa saga è alquanto disturbante. Ogni donna è una fessa, una prostituta o orribile e spesso ci sono descrizioni di stupri molto dettagliati e spesso ridicoli per via delle descrizioni. Se prima questa cosa non mi tangeva, in questo libro l'ho trovata molto fastidiosa.<br/><br/>Speravo in una conclusione migliore per questa grande saga che mi aveva fanno innamorare, peccato.<br/><a href=""https://www.artedellalettura.it"" target=""_blank"">Altre recensioni sul mio blog Arte della Lettura</a>",,,1,,,0,,,,,
52006571,Perduti in una piramide. Ovvero La Maledizione Della Mummia,Louisa May Alcott,"Alcott, Louisa May",Enrico De Luca,"=""""","=""9788831456012""",0,3.38,Caravaggio Editore ,Paperback,40,2020,1869,2020/12/19,2020/12/19,,,read,,,,1,,,0,,,,,
55808499,Lo scheletro,Jerome K. Jerome,"Jerome, Jerome K.",,"=""8831456253""","=""9788831456258""",0,3.71,Caravaggio Editore,Saddle Stiches,32,2020,,2020/12/19,2020/12/19,,,read,,,,1,,,0,,,,,
36232706,Il settimo giorno,Yu Hua,"Hua, Yu",Silvia Pozzi,"=""""","=""""",2,3.90,Feltrinelli Editore,Kindle Edition,150,2017,2013,2020/01/16,2020/03/24,,,read,"<a href=""https://www.artedellalettura.it/recensione-il-settimo-giorno-hua-yu/"" target=""_blank"">Recensione pubblicata originariamente sul mio blog Arte della Lettura</a><br/><br/><h2><strong>Recensione Il settimo giorno (senza spoiler)</strong></h2><br/>Durante la prova gratuita di <a href=""https://www.storytel.com/it/it/books/1049660-Il-settimo-giorno"">Storytel</a>, servizio di audiolibri concorrente di <a href=""https://www.artedellalettura.it/recensione-di-audible-by-amazon/"">Audible</a>, ho scelto come mio primo libro Il settimo giorno di Yu Hua, autore di cui già lessi <a href=""https://www.artedellalettura.it/recensione-la-cina-in-dieci-parole/"">La Cina in dieci parole</a>. Quella lettura non mi piacque, ma sono solito dare seconde possibilità e questa mi è sembrata un'ottima occasione per rivalutare questo autore.<br/><h3><strong>Trama</strong></h3><br/>Il libro narra di cosa accade a Yang Fei, il protagonista, in seguito alla sua morte. Nel corso di sette giori Yang Fei conosce varie persone nella sua stessa situazione, ovvero che si trovano in attesa di essere sepolte, e ritrova vecchie conoscenze, tra cui l'ex moglie e il padre adottivo.<br/><br/>Tutto il libro si basa sulla critica sociale. Ogni secondo l'autore fa una critica alla società o al materialismo delle persone, ripetendo anche più volte gli stessi concetti. Ogni avvenimento nella trama è una scusa per fare una critica.<br/><br/>I personaggi sono noiosi e poco caratterizzati.<br/><h3><strong>Audiolibro</strong></h3><br/>Buona parte della noia durante l'ascolto è stata data anche dalla lettura. Forse viziato dalla sublime lettura di Francesco Pannofino in <a href=""https://www.artedellalettura.it/harry-potter-e-la-pietra-filosofale-rowling/"">Harry Potter e la Pietra Filosofale</a>, ho trovato questo audiolibro molto più piatto e monotono, con leggerissimi cambi di intonazione quasi inesistenti. In pratica, non c'era differenza tra i personaggi.<br/><h2><strong>Conclusioni</strong></h2><br/>Trama che non mi ha coinvolto, audiolibro noioso e dalla lettura piatta, senza sfumature nell'intonazione.<br/><br/><a href=""https://www.artedellalettura.it"" target=""_blank"">Altre recensioni sul mio blog Arte della Lettura</a>",,,1,,,0,,,,,
18746366,Strangers In Paradise: 1,Terry Moore,"Moore, Terry",,"=""8865431849""","=""9788865431849""",4,4.08,Bao Publishing,Paperback,344,2013,2004,2019/09/15,2019/08/25,,,read,,,,1,,,0,,,,,
41434617,Eleanor Oliphant sta benissimo,Gail Honeyman,"Honeyman, Gail",Elisa Giorgio,"=""""","=""""",3,4.28,Salani,Audible Audio,,2018,2017,2020/05/31,2020/05/26,,,read,,,,1,,,0,,,,,
53308615,"Slam Dunk, Vol. 8",Takehiko Inoue,"Inoue, Takehiko",Manuela Capriati,"=""8891294144""","=""9788891294142""",4,4.56,Panini Comics - Planet Manga,Paperback,352,2020,2018,2020/06/12,2020/06/12,,,read,,,,1,,,0,,,,,
